#Wavelength[Angstrom]  Flux[Flux per Angstrom]
3541.54         44.72435
3542.54         260.2435
3543.54         329.8195
3544.54         325.5148
3545.54         332.0099
3546.54         323.8926
3547.54         307.8616
3548.54         306.8736
3549.54         318.0973
3550.54         309.9836
3551.54         304.7438
3552.54         302.7354
3553.54         303.6017
3554.54         291.3328
3555.54         296.0345
3556.54         311.1873
3557.54          298.752
3558.54         276.9156
3559.54         276.5334
3560.54         291.7172
3561.54           289.93
3562.54         278.4654
3563.54          264.977
3564.54         262.4899
3565.54         263.6055
3566.54         259.4822
3567.54         243.9232
3568.54         233.1199
3569.54         222.5754
3570.54         214.6614
3571.54         217.1454
3572.54         242.6863
3573.54         254.8106
3574.54         247.3293
3575.54         245.5513
3576.54         248.0471
3577.54          244.646
3578.54         236.5193
3579.54         227.1853
3580.54         219.4733
3581.54         212.5474
3582.54         193.3972
3583.54         171.9394
3584.54         170.5844
3585.54         192.9226
3586.54         200.0451
3587.54         193.2373
3588.54         217.9666
3589.54         243.1302
3590.54         250.1896
3591.54         267.0063
3592.54         280.7558
3593.54         291.9724
3594.54         309.7411
3595.54          328.821
3596.54         340.2603
3597.54          365.687
3598.54         383.6826
3599.54         374.4484
3600.54          360.745
3601.54          355.114
3602.54         354.8573
3603.54         341.8246
3604.54         321.9403
3605.54           308.52
3606.54          289.217
3607.54         279.4007
3608.54         280.5387
3609.54         273.7187
3610.54         278.1431
3611.54         297.7227
3612.54         312.5239
3613.54         310.8054
3614.54         307.1565
3615.54         319.6235
3616.54         319.3515
3617.54         306.6072
3618.54         290.7863
3619.54         290.0162
3620.54         312.6557
3621.54          310.783
3622.54         319.2102
3623.54          333.977
3624.54         341.9025
3625.54         375.2739
3626.54         392.4319
3627.54         389.1718
3628.54         392.8624
3629.54         391.9194
3630.54          375.407
3631.54          346.423
3632.54         334.1873
3633.54         331.5155
3634.54         332.4221
3635.54         336.3964
3636.54         350.0149
3637.54         359.5937
3638.54         370.9605
3639.54         394.2343
3640.54         406.8853
3641.54          395.261
3642.54         378.0087
3643.54         385.0732
3644.54         380.1869
3645.54         357.3369
3646.54         341.1152
3647.54         329.6688
3648.54         326.3757
3649.54         328.1057
3650.54         330.3255
3651.54         338.8519
3652.54         363.5363
3653.54         384.5708
3654.54         402.4807
3655.54         426.5705
3656.54         444.1702
3657.54         457.1496
3658.54         458.6058
3659.54         461.6004
3660.54         476.6998
3661.54         488.0653
3662.54         479.6386
3663.54         462.3198
3664.54         453.9217
3665.54         448.5338
3666.54         442.3544
3667.54         441.5462
3668.54         425.9852
3669.54         430.2684
3670.54         429.3498
3671.54         435.5826
3672.54         440.0955
3673.54         439.2378
3674.54          436.008
3675.54         432.8498
3676.54         421.3656
3677.54          419.658
3678.54         400.6584
3679.54         377.4108
3680.54         386.6874
3681.54         391.0715
3682.54         378.6856
3683.54         374.1381
3684.54          375.058
3685.54         376.5006
3686.54         389.9021
3687.54         375.0818
3688.54         372.3017
3689.54         380.0156
3690.54          391.679
3691.54         410.1722
3692.54         420.6718
3693.54         432.7396
3694.54         457.6638
3695.54         466.4654
3696.54         453.2263
3697.54         447.9796
3698.54         454.7477
3699.54         458.1125
3700.54         463.5488
3701.54         456.2813
3702.54         444.9074
3703.54         429.2304
3704.54         407.1711
3705.54         382.4141
3706.54          360.141
3707.54         353.7219
3708.54         340.6197
3709.54         357.9376
3710.54         385.5704
3711.54         406.1721
3712.54         424.2828
3713.54         439.7777
3714.54         453.6838
3715.54         452.4768
3716.54         446.1496
3717.54         425.7093
3718.54         403.9795
3719.54         373.3596
3720.54         334.7668
3721.54         318.4909
3722.54         312.3352
3723.54         308.1914
3724.54         315.6072
3725.54          335.688
3726.54         349.2957
3727.54         347.8892
3728.54         350.4671
3729.54         357.4395
3730.54         352.1923
3731.54         333.4479
3732.54         309.7489
3733.54         295.6684
3734.54         279.5434
3735.54         255.8741
3736.54         252.2386
3737.54         266.6891
3738.54         282.0992
3739.54         290.1791
3740.54         300.5624
3741.54         307.2785
3742.54         313.7363
3743.54         311.7589
3744.54         304.5807
3745.54         297.9302
3746.54         273.8246
3747.54         257.7596
3748.54         255.9789
3749.54         260.5137
3750.54         280.8464
3751.54           294.62
3752.54         309.8861
3753.54         329.2806
3754.54         343.7845
3755.54          356.459
3756.54         364.2565
3757.54         361.1641
3758.54         359.7475
3759.54         349.4002
3760.54         333.2514
3761.54         329.1978
3762.54         329.6995
3763.54         325.7666
3764.54         318.1484
3765.54         322.3487
3766.54         336.6295
3767.54         345.1537
3768.54         347.7256
3769.54         358.0703
3770.54         380.0438
3771.54         383.4332
3772.54         386.0946
3773.54         397.0545
3774.54         402.0081
3775.54          407.359
3776.54         413.9911
3777.54         420.6276
3778.54         417.7309
3779.54         420.8397
3780.54         439.9977
3781.54         449.4359
3782.54         446.1786
3783.54         433.0107
3784.54         419.3996
3785.54         406.3379
3786.54         397.6997
3787.54         389.3017
3788.54         364.0369
3789.54          353.128
3790.54         347.5052
3791.54         337.6625
3792.54         332.0332
3793.54         323.2502
3794.54          318.253
3795.54         312.6074
3796.54         311.0256
3797.54         313.7038
3798.54         308.3957
3799.54         312.5449
3800.54         316.7413
3801.54         321.2656
3802.54         337.0059
3803.54          361.604
3804.54         360.0908
3805.54         363.5783
3806.54         374.3867
3807.54         359.8494
3808.54         352.6938
3809.54         351.8789
3810.54         350.2664
3811.54         354.4877
3812.54         355.3893
3813.54         342.8503
3814.54         332.7409
3815.54         323.5092
3816.54         293.6847
3817.54          276.374
3818.54         277.2693
3819.54         267.2578
3820.54         262.5467
3821.54          259.485
3822.54         247.4949
3823.54         241.2543
3824.54         233.2139
3825.54         227.2092
3826.54           234.59
3827.54         235.2344
3828.54          229.946
3829.54         231.4366
3830.54         230.5664
3831.54         221.1084
3832.54         216.5066
3833.54         195.1315
3834.54         186.0944
3835.54           200.94
3836.54          221.152
3837.54         222.1421
3838.54         228.4049
3839.54         238.7101
3840.54         243.2814
3841.54         251.9588
3842.54         264.0509
3843.54         276.1005
3844.54         280.6454
3845.54         283.4611
3846.54         296.1082
3847.54         304.8626
3848.54         298.3062
3849.54          292.312
3850.54         297.7392
3851.54         301.4898
3852.54         287.6332
3853.54         285.6451
3854.54           290.69
3855.54         292.3372
3856.54         277.7467
3857.54          261.973
3858.54         258.5953
3859.54         262.1639
3860.54         272.1847
3861.54         278.0828
3862.54         276.4877
3863.54         292.0224
3864.54         301.9793
3865.54         301.6308
3866.54         309.2464
3867.54         303.6753
3868.54         300.3424
3869.54         295.9017
3870.54         291.1894
3871.54         291.4187
3872.54         304.6695
3873.54         309.2191
3874.54         301.0163
3875.54         305.9822
3876.54         315.0174
3877.54         310.6366
3878.54         314.2308
3879.54         318.3905
3880.54          308.662
3881.54         303.2576
3882.54         302.8799
3883.54         306.1765
3884.54         317.7427
3885.54          328.302
3886.54         328.1799
3887.54         339.8431
3888.54         356.1668
3889.54         369.5528
3890.54         401.8824
3891.54         425.7896
3892.54         431.4311
3893.54         441.5521
3894.54         454.8577
3895.54         459.2622
3896.54         450.2142
3897.54          442.876
3898.54         450.3822
3899.54         451.0333
3900.54         459.1514
3901.54         462.7613
3902.54         454.8029
3903.54         440.5974
3904.54         446.9661
3905.54         446.4085
3906.54         448.6541
3907.54         466.2432
3908.54         467.8687
3909.54         491.8661
3910.54         521.3939
3911.54         523.4321
3912.54         532.0599
3913.54          542.899
3914.54          546.543
3915.54         545.6883
3916.54         549.0624
3917.54         534.6122
3918.54         510.3436
3919.54          490.279
3920.54         479.7418
3921.54         461.5313
3922.54         448.7227
3923.54         437.4164
3924.54         426.3776
3925.54         414.4237
3926.54         395.0511
3927.54         372.9578
3928.54         338.8555
3929.54         301.5798
3930.54         278.3484
3931.54         252.4379
3932.54         222.3096
3933.54         200.4127
3934.54         195.4685
3935.54         203.8819
